title,url,budget,client,posted_date,crawled_at
【経験者募集！高単価！】校正・校閲の経験がある編集者様,https://crowdworks.jp/public/jobs/11612624,予算未設定,havana_cw1,2025-01-08,2025-01-16T23:18:12.495718
【未経験者歓迎！/報酬500円】ショート動画作成のご依頼,https://crowdworks.jp/public/jobs/11614987,"50,000",cw_o1,2025-01-08,2025-01-16T23:18:12.496450
【簡単アンケート業務！】在宅ワークに関してのアンケート調査業務です！【実績になる！】,https://crowdworks.jp/public/jobs/11641330,"50,000",モニター作業スタッフ,2025-01-16,2025-01-16T23:18:12.496642
業務用エアコンクリーニング・A4両面 / 4色カラーチラシデザイン,https://crowdworks.jp/public/jobs/11644431,予算未設定,HARE8080,2025-01-16,2025-01-16T23:18:12.496845
【すきま時間ですぐ100円】誰でもできるカンタンな銀行アプリに関するアンケート！,https://crowdworks.jp/public/jobs/11644430,"5,000",KOSAKA0621,2025-01-16,2025-01-16T23:18:12.497001
【1本1500円】2chYouTubeショート動画の編集！【長期継続案件】,https://crowdworks.jp/public/jobs/11644427,"50,000",ねるねこ,2025-01-16,2025-01-16T23:18:12.497670
"【60秒/1,000円】2ch系YouTubeショート動画の編集のお仕事！",https://crowdworks.jp/public/jobs/11644425,予算未設定,ねるねこ,2025-01-16,2025-01-16T23:18:12.498014
【継続依頼】Youtubeショートの動画編集者募集！【主婦・大学生歓迎】,https://crowdworks.jp/public/jobs/11644423,"10,000",ねるねこ,2025-01-16,2025-01-16T23:18:12.498188
誰でも簡単アンケートで100円◇◇◇スマホで出来る簡単な銀行アプリのアンケート！,https://crowdworks.jp/public/jobs/11644422,"5,000",KOSAKA0621,2025-01-16,2025-01-16T23:18:12.498344
"【高単価/1本10,000円～】ゆっくり解説の動画編集者さんを募集中です【長期継続あり】",https://crowdworks.jp/public/jobs/11644410,予算未設定,skoffice,2025-01-16,2025-01-16T23:18:12.498545
WEBマガジン（電子書籍）のデザイン制作｜表紙雑誌KindleAmazonノートデザインLPページECWEBアドビ,https://crowdworks.jp/public/jobs/11644395,"10,000",ECサイト運営コンサル,2025-01-16,2025-01-16T23:18:12.498725
